1,民族自豪：我国增强现实技术,9.0,虚拟现实技术,"虚拟现实,RasyAR,民族,自豪感,技术",1684258599.0981276,0,D:/毕设-系统/manage_system/media/booktest/2页_1.docx
2,创新与探索：数据处理与大数据,9.0,大学计算机基础,"数据,勇于,数据处理,敢于,尝试",1684258599.102117,0,D:/毕设-系统/manage_system/media/booktest/2页_10.docx
3,表决器,9.0,数字电子技术,"表决器,抢答器,素养,人文,培育",1684258599.106107,0,D:/毕设-系统/manage_system/media/booktest/2页_100.docx
4,中国珠算,9.0,数字电子技术,"珠算,计数器,素养,情怀,爱国主义",1684258599.110137,0,D:/毕设-系统/manage_system/media/booktest/2页_101.docx
5,探索与创新：比尔盖茨等的名言警句,9.0,大学计算机基础,"比尔盖茨,创新,警句,脚踏实地,名言",1684258599.1131244,0,D:/毕设-系统/manage_system/media/booktest/2页_11.docx
6,文化自信：我国的游戏设计与策划,9.0,游戏开发技术,"游戏,策划,自信,开发技术,设计",1684258599.117119,0,D:/毕设-系统/manage_system/media/booktest/2页_12.docx
7,软件安全引导,9.0,游戏开发技术,"软件,开发技术,安全,使命感,自豪感",1684258599.1211019,0,D:/毕设-系统/manage_system/media/booktest/2页_13.docx
8,北斗导航与增量法,9.0,计算机图形学,"图形学,自豪感,北斗,微分,算法",1684258599.125087,0,D:/毕设-系统/manage_system/media/booktest/2页_14.docx
9,民族自豪感：华为与图形软件标准,9.0,计算机图形学,"自豪感,图形,图形学,数据格式,民族",1684258599.1290798,0,D:/毕设-系统/manage_system/media/booktest/2页_15.docx
10,爱国主义： 五星红旗与二维图形显示实验,9.0,计算机图形学 ,"二维,爱国主义,图形,图形学,五星红旗",1684258599.1320362,0,D:/毕设-系统/manage_system/media/booktest/2页_16.docx
11,主要矛盾与次要矛盾：中印边界冲突与图元裁剪,9.0,计算机图形学 ,"次要矛盾,裁剪,主要矛盾,图形学,图元",1684258599.1380556,0,D:/毕设-系统/manage_system/media/booktest/2页_17.docx
12,民族自豪：汉字激光照排技术,9.0,计算机图形学,"图形学,激光照排,民族,自豪感,自豪",1684258599.142009,0,D:/毕设-系统/manage_system/media/booktest/2页_18.docx
13,坚持不懈：分形几何,9.0,计算机图形学,"坚持不懈,图形学,分形,三维,几何",1684258599.145001,0,D:/毕设-系统/manage_system/media/booktest/2页_19.docx
14,文化自信：你是这样的鲁迅,9.0,虚拟现实技术,"虚拟现实,三维,鲁迅,文化教育,自信",1684258599.1489902,0,D:/毕设-系统/manage_system/media/booktest/2页_2.docx
15,工匠精神、精益求精：真实感图形展示,9.0,计算机图形学,"精益求精,工匠,图形学,真实感图形,精神",1684258599.1519818,0,D:/毕设-系统/manage_system/media/booktest/2页_20.docx
16,客观全面认识世界：图形变换,9.0,计算机图形学,"图形,客观,图形学,几何变换,全面",1684258599.1569712,0,D:/毕设-系统/manage_system/media/booktest/2页_21.docx
17,CPU的结构和功能,9.0,计算机图形学,"CPU,图形学,家国,情怀,自豪",1684258599.1609597,0,D:/毕设-系统/manage_system/media/booktest/2页_22.docx
18,哈利波特制作花絮  ,9.0,数字影视后期合成与特效,"后期合成,特效,影视,数字,哈利波",1684258599.163952,0,D:/毕设-系统/manage_system/media/booktest/2页_23.docx
19,智联招聘、应届生、51job等招聘网站,9.0,数字影视后期合成与特效,"后期合成,特效,影视,招聘,数字",1684258599.167941,0,D:/毕设-系统/manage_system/media/booktest/2页_24.docx
20,《觉醒年代》片头及《错位时空五四版视频》   ,9.0,数字影视后期合成与特效,"片头,后期合成,家国,关键帧,动画",1684258599.1749225,0,D:/毕设-系统/manage_system/media/booktest/2页_25.docx
21,文化自信：《青花瓷》、《声声慢》,9.0,数字影视后期合成与特效,"自信,文化,遮罩,声声慢,后期合成",1684258599.1789114,0,D:/毕设-系统/manage_system/media/booktest/2页_26.docx
22,环保题材的MG动画,9.0,数字影视后期合成与特效,"动画,MG,后期合成,特效,价值观",1684258599.1819036,0,D:/毕设-系统/manage_system/media/booktest/2页_27.docx
23,工匠精神与文化自信：《诗文靖江》片头,9.0,数字影视后期合成与特效,"工匠,片头,后期合成,三维图,精神",1684258599.1858928,0,D:/毕设-系统/manage_system/media/booktest/2页_28.docx
24,文化自信：《中秋》片头,9.0,数字影视后期合成与特效,"片头,后期合成,三维图,动画,特效",1684258599.1899157,0,D:/毕设-系统/manage_system/media/booktest/2页_29.docx
25,文化自信：汝瓷,9.0,虚拟现实技术,"虚拟现实,汝瓷,文化教育,自信,案例",1684258599.1939044,0,D:/毕设-系统/manage_system/media/booktest/2页_3.docx
26,流浪地球制作花絮,9.0,数字影视后期合成与特效,"后期合成,家国,花絮,特效,情怀",1684258599.1969008,0,D:/毕设-系统/manage_system/media/booktest/2页_30.docx
27,哈利波特制作花絮-跟踪    ,9.0,数字影视后期合成与特效,"跟踪,哈利波,后期合成,花絮,职业道德",1684258599.2008882,0,D:/毕设-系统/manage_system/media/booktest/2页_31.docx
28,播放优秀作品,9.0,数字影视后期合成与特效,"后期合成,课设,优秀作品,特效,价值观",1684258599.2048779,0,D:/毕设-系统/manage_system/media/booktest/2页_32.docx
29,神威・太湖之光超级计算机,9.0,计算机组成原理,"超级计算机,家国,算力,自豪感,神威",1684258599.21087,0,D:/毕设-系统/manage_system/media/booktest/2页_33.docx
30,计算工具的发展,9.0,计算机组成原理,"家国,算力,自豪感,系统集成,情怀",1684258599.2138588,0,D:/毕设-系统/manage_system/media/booktest/2页_34.docx
31,华为“技工贸”、联想“贸工技”的启示,9.0,计算机组成原理,"技工贸,贸工,家国,算力,自豪感",1684258599.2198014,0,D:/毕设-系统/manage_system/media/booktest/2页_35.docx
32,中国红旗Linux,9.0,计算机组成原理,"Linux,家国,算力,自豪感,系统集成",1684258599.2237902,0,D:/毕设-系统/manage_system/media/booktest/2页_36.docx
33,华为鸿蒙操作系统,9.0,嵌入式系统原理及开发（应用）,"鸿蒙,嵌入式,软件系统,华为,职业道德",1684258599.2277794,0,D:/毕设-系统/manage_system/media/booktest/2页_37.docx
34,长江存储,9.0,嵌入式系统原理及开发（应用）,"存储系统,嵌入式,职业道德,素养,人文",1684258599.2317686,0,D:/毕设-系统/manage_system/media/booktest/2页_38.docx
35,开源的处理器架构RISC-V技术,9.0,嵌入式系统原理及开发（应用）,"指令系统,RISC,嵌入式,开源,职业道德",1684258599.2367566,0,D:/毕设-系统/manage_system/media/booktest/2页_39.docx
36,文化自信：《只有河南》戏剧幻城,9.0,虚拟现实技术,"虚拟现实,幻城,文化教育,自信,案例",1684258599.2417428,0,D:/毕设-系统/manage_system/media/booktest/2页_4.docx
37,关于未来十年计算机的发展趋势,9.0,计算机组成原理,"计算机,职业道德,素养,未来,人文",1684258599.2457764,0,D:/毕设-系统/manage_system/media/booktest/2页_40.docx
38,逻辑代数的发展,9.0,数字电子技术,"代数,逻辑,素养,人文,培育",1684258599.2517154,0,D:/毕设-系统/manage_system/media/booktest/2页_41.docx
39,《周易》的“阴阳之说”,9.0,数字电子技术,"数制,码制,素养,周易,人文",1684258599.2547448,0,D:/毕设-系统/manage_system/media/booktest/2页_42.docx
40,不同的编码有不同的编码规则和用途,9.0,数字电子技术,"编码,译码,职业道德,不同,培育",1684258599.2577484,0,D:/毕设-系统/manage_system/media/booktest/2页_43.docx
41,逻辑化简的规则,9.0,嵌入式系统原理及开发（应用）,"化简,逻辑,嵌入式,职业道德,素养",1684258599.2607281,0,D:/毕设-系统/manage_system/media/booktest/2页_44.docx
42,数字集成电路的重要性,9.0,数字电子技术,"数字,素养,情怀,分立,爱国主义",1684258599.2647176,0,D:/毕设-系统/manage_system/media/booktest/2页_45.docx
43,过程与目标相统一,9.0,数字电子技术,"电路设计,素养,人文,培育,组合",1684258599.2686713,0,D:/毕设-系统/manage_system/media/booktest/2页_46.docx
44,表决器,9.0,嵌入式系统原理及开发（应用）,"表决器,抢答器,嵌入式,素养,人文",1684258599.272661,0,D:/毕设-系统/manage_system/media/booktest/2页_47.docx
45,中国珠算,9.0,数字电子技术,"珠算,计数器,素养,情怀,爱国主义",1684258599.2766902,0,D:/毕设-系统/manage_system/media/booktest/2页_48.docx
46,智能体温测温手环,9.0,无线传感网技术,"手环,RFID,测温,自豪感,传感",1684258599.2806745,0,D:/毕设-系统/manage_system/media/booktest/2页_49.docx
47,探索创新：混样检测方法的科学依据和二进制关系,9.0,大学计算机基础,"二进制,探索,混样,使命感,自豪感",1684258599.287621,0,D:/毕设-系统/manage_system/media/booktest/2页_5.docx
48,智能垃圾箱房,9.0,无线传感网技术,"垃圾箱,传感,无线,节点,传感器",1684258599.290613,0,D:/毕设-系统/manage_system/media/booktest/2页_50.docx
49,5G+智能矿井,9.0,无线传感网技术,"无线,5G,网络通信,传感,技术",1684258599.2955997,0,D:/毕设-系统/manage_system/media/booktest/2页_51.docx
50,“北斗”定位系统,9.0,无线传感网技术,"无线,定位系统,自豪感,自信心,北斗",1684258599.3015835,0,D:/毕设-系统/manage_system/media/booktest/2页_52.docx
51,上海浦东国际机场防入侵系统,9.0,无线传感网技术,"无线,上海浦东国际机场,理想信念,传感,技术",1684258599.3055727,0,D:/毕设-系统/manage_system/media/booktest/2页_53.docx
52,大鸭岛对海燕的保护,9.0,无线传感网技术,"大鸭岛,海燕,保护,自豪感,传感",1684258599.3095622,0,D:/毕设-系统/manage_system/media/booktest/2页_54.docx
53," Web的发明者蒂姆・伯纳斯・李 ""取与舍""的故事",9.0,Web程序设计,"Web,伯纳斯,蒂姆,职业道德,发明者",1684258599.3135517,0,D:/毕设-系统/manage_system/media/booktest/2页_55.docx
54,穷和尚与富和尚的故事,9.0,Web程序设计,"Web,和尚,与富,执行力,程序设计",1684258599.3185546,0,D:/毕设-系统/manage_system/media/booktest/2页_56.docx
55,垃圾分类与环境保护,9.0,Web程序设计,"环境保护,Web,Servlet,生命周期,程序设计",1684258599.3235233,0,D:/毕设-系统/manage_system/media/booktest/2页_57.docx
56,江苏南通“1023”暗网侵犯公民个人信息案,9.0,Web程序设计,"意识,1023,暗网,Web,网络安全",1684258599.3275125,0,D:/毕设-系统/manage_system/media/booktest/2页_58.docx
57,爱党爱国主题站点设计,9.0,Web程序设计,"政治信仰,Web,会话,爱国热情,站点",1684258599.3315067,0,D:/毕设-系统/manage_system/media/booktest/2页_59.docx
58,创新： 国产自主开发软件,9.0,大学计算机基础,"开发软件,意识,WPS,创新,安全意识",1684258599.3355315,0,D:/毕设-系统/manage_system/media/booktest/2页_6.docx
59,中国传统文化,9.0,Web程序设计,"Web,JSP,传统,程序设计,文化教育",1684258599.3385155,0,D:/毕设-系统/manage_system/media/booktest/2页_60.docx
60,微盟程序员删库被判刑六年事件,9.0,Web程序设计,"微盟,删库,Web,JDBC,连接池",1684258599.3425093,0,D:/毕设-系统/manage_system/media/booktest/2页_61.docx
61,刘建兵和他的“工匠团队”,9.0,Web程序设计,"工匠,团队,刘建兵,Web,JSP",1684258599.3464687,0,D:/毕设-系统/manage_system/media/booktest/2页_62.docx
62,计算技术的发展,9.0,云计算技术及应用,"计算技术,发展,继承,创新,应用",1684258599.3504512,0,D:/毕设-系统/manage_system/media/booktest/2页_63.docx
63, 虚拟化软件选购,9.0,云计算技术及应用,"虚拟化,计算技术,选购,取向,软件",1684258599.3544407,0,D:/毕设-系统/manage_system/media/booktest/2页_64.docx
64,分布式数据存储,9.0,云计算技术及应用,"存储系统,计算技术,分布式,伦理,存储",1684258599.359427,0,D:/毕设-系统/manage_system/media/booktest/2页_65.docx
65,团队协作,9.0,云计算技术及应用,"协作,团队,并行计算,计算技术,应用",1684258599.3624196,0,D:/毕设-系统/manage_system/media/booktest/2页_66.docx
66,Hadoop的诞生,9.0,云计算技术及应用,"Hadoop,计算技术,架构,工匠,大国",1684258599.3664086,0,D:/毕设-系统/manage_system/media/booktest/2页_67.docx
67,阿里云应用,9.0,云计算技术及应用,"应用,计算技术,自信心,自尊心,解决方案",1684258599.3703978,0,D:/毕设-系统/manage_system/media/booktest/2页_68.docx
68,Amazon云计算的诞生,9.0,云计算技术及应用,"计算技术,Amazon,取向,诞生,应用",1684258599.3733897,0,D:/毕设-系统/manage_system/media/booktest/2页_69.docx
69,计算机网络安全,9.0,大学计算机基础,"网络安全,计算机,计算机网络,防护,自我",1684258599.3773794,0,D:/毕设-系统/manage_system/media/booktest/2页_7.docx
70, 5G通信标准,9.0,云计算技术及应用,"5G,计算,标准,计算技术,爱国",1684258599.3813705,0,D:/毕设-系统/manage_system/media/booktest/2页_70.docx
71,MapReduce模型,9.0,云计算技术及应用,"并行计算,MapReduce,计算技术,协作,团队",1684258599.3853593,0,D:/毕设-系统/manage_system/media/booktest/2页_71.docx
72,谷歌终止“探索者”软件开发项目,9.0,软件工程,"探索者,软件工程,软件开发,可行性研究,素养",1684258599.3893485,0,D:/毕设-系统/manage_system/media/booktest/2页_72.docx
73,千年虫软件缺陷案例,9.0,软件工程,"敬业精神,千年虫,软件缺陷,软件工程,职业道德",1684258599.3973272,0,D:/毕设-系统/manage_system/media/booktest/2页_73.docx
74,嫦娥二号卫星,9.0,操作系统原理,"唯物辩证法,操作系统,二号,嫦娥,发展观",1684258599.4013166,0,D:/毕设-系统/manage_system/media/booktest/2页_74.docx
75,中国哲学,9.0,操作系统原理,"进程同步,操作系统,辩证,开放,原理",1684258599.4053059,0,D:/毕设-系统/manage_system/media/booktest/2页_75.docx
76,华为事件,9.0,操作系统原理,"顽强拼搏,华为,操作系统,自主,原理",1684258599.408298,0,D:/毕设-系统/manage_system/media/booktest/2页_76.docx
77,人工智能发展,9.0,人工智能概论,"人工智能,爱国热情,自豪感,概论,发展史",1684258599.4122872,0,D:/毕设-系统/manage_system/media/booktest/2页_77.docx
78,感知机算法,9.0,人工智能概论,"敬业精神,感知机,坚韧不拔,勇于创新,判据",1684258599.4162765,0,D:/毕设-系统/manage_system/media/booktest/2页_78.docx
79, 贝叶斯网络应用实例,9.0,人工智能概论,"贝叶斯,网络应用,科学态度,人工智能,概论",1684258599.4192686,0,D:/毕设-系统/manage_system/media/booktest/2页_79.docx
80,合作与创新：模块化程序设计,9.0,大学计算机基础,"程序设计,模块化,计算机,特色,社会主义",1684258599.4232578,0,D:/毕设-系统/manage_system/media/booktest/2页_8.docx
81,粒子群优化,9.0,人工智能概论,"精益求精,人工智能,概论,协作,粒子",1684258599.428243,0,D:/毕设-系统/manage_system/media/booktest/2页_80.docx
82,人脸识别商业滥用,9.0,人工智能概论,"人脸识别,伦理道德,素养,人工智能,概论",1684258599.4332316,0,D:/毕设-系统/manage_system/media/booktest/2页_81.docx
83,迁移学习,9.0,人工智能概论,"迁移,学习,人工智能,概论,辩证",1684258599.4372206,0,D:/毕设-系统/manage_system/media/booktest/2页_82.docx
84,智能服务机器人,9.0,人工智能概论,"机器人,职业道德,人工智能,概论,工匠",1684258599.4402125,0,D:/毕设-系统/manage_system/media/booktest/2页_83.docx
85,C语言,9.0,人工智能概论,"C语言,职业道德,人工智能,概论,机器人",1684258599.4451988,0,D:/毕设-系统/manage_system/media/booktest/2页_84.docx
86,精技强能：C语言的特点,9.0,高级语言程序设计,"精技强,C语言,多学,多练,特点",1684258599.4491875,0,D:/毕设-系统/manage_system/media/booktest/2页_85.docx
87,民族自豪感：中国数学曾处于世界巅峰,9.0,高级语言程序设计,"自豪感,算法,民族,巅峰,程序设计",1684258599.4531763,0,D:/毕设-系统/manage_system/media/booktest/2页_86.docx
